"Дата","Название","ИНН","Адрес","Сайт","Признаки, установленные Банком России","Деятельность прекращена","Дополнительно"
2021-09-21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ «БУДЬТЕ БОГАТЫ» (""КАПУСТА"", ""БУДЬТЕ БОГАТЫ"", ""МИШКА ЗАЙМ"")","1647019120","423523, Республика Татарстан, р-н Заинский, г. Заинск, пр-кт Победы, д. 1/06А, офис 2","kometazaim.ru, mishkazaym.ru","Признаки нелегального кредитора",0,
2021-09-21,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТОРГОВО-ФИНАНСОВЫЙ АЛЬЯНС ""ЛЕГИОН"" (LEGION, TFALEGION)","2466193471","660043, Красноярский край, г. Красноярск, ул. Караульная, д. 88 пом. 218","tfalegion.ru","Признаки ""финансовой пирамиды""",0,
2021-09-21,"ООО ""Приволжский баланс"", Автомани",,,"автомани.рф","Признаки нелегального кредитора",0,
2021-09-21,"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ СОЦИАЛЬНО-ЭКОНОМИЧЕСКИХ ПРОГРАММ ДЛЯ ПАЙЩИКОВ ""РУССКИЙ КАПИТАЛ""","7716949650","129301, г. Москва, ул. Касаткина, д. 3 стр. 2, этаж 4, помещение № 19; 
308009, Белгородская область, г. Белгород, пр. Славы, д. 82; 
309290, Белгородская область, г. Шебекино, ул. Ленина, д. 21; 
628609, Ханты-Мансийский автономный округ - Югра, г. Нижневартовск, пр. Победы, д. 25
","ruskpk.ru","Признаки ""финансовой пирамиды""",0,
2021-09-21,"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ СОЦИАЛЬНО-ЭКОНОМИЧЕСКИХ ПРОГРАММ ДЛЯ ПАЙЩИКОВ ""РЫБИНСКИЙ ИНВЕСТИЦИОННЫЙ ФОНД"" (ПК ""РИФОНД"")","7610128131","152920, Ярославская область, г.о. Рыбинск, г. Рыбинск, ул. Гражданская, д. 62, кв. 11","rifond.ru","Признаки ""финансовой пирамиды""",0,
2021-09-21,"Санкт-Петербург Хоум Финанс, Хоум Финанс",,,"spbhomefinance.ru","Признаки нелегального кредитора",0,
2021-09-21,"Экспресс ломбард на Стахановской",,"659321, Алтайский край, г. Бийск, ул. Советская д.210А","vk.com/id303987234, vk.com/public175707922","Признаки нелегального кредитора",0,
2021-09-14,"24shares",,,"24shares.io, client.24shares.io","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"24Trade, 24 Trade Limited",,,"24trade.capital, my.24trade.capital, webtrader.24trade.capital, 24trade.net, my.24trade.net, webtrader.24trade.net","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"ACH Deal",,,"achdeal.com, trade.achdeal.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Adro Markets Ltd, Adro M Group LLC, ADRO(FX) Group LTD, ADRO FX",,,"adrofx.com, adrofx.club","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Alcor Limited, Alcor",,,"alcor.trade, alcor1.trade, alcor2.trade","Признаки ""финансовой пирамиды""",0,
2021-09-14,"Alevana Holdings Ltd, Finansa",,,"finansa.co","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"AN ALL NEW INVESTMENTS LTD, LegacyFX",,,"int.legacyfx.com, int.xeprime.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"AnyTrades, AnyTrades",,,"any-trades.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Arbiten LTD, Arbiten",,,"arbiten.io","Признаки ""финансовой пирамиды""",0,
2021-09-14,"Asset Group, Widdershins group ltd",,,"assetgroup.io, assetgroup.cc, webtrader.assetgroup.cc, assetgroup.xyz","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"ASTI Invest",,,"astiinvest.com, platform.astiinvest.com, asti-invest.com, asti-broker.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Avtocash",,,"avto-cash.site","Признаки ""финансовой пирамиды""",0,
2021-09-14,"BBC, Benefit Broker Company",,,"benefit-bc.com, trading.benefit-bc.com, fitben-cb.net, terminal.fitben-cb.net","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Bitworld capital, Bitcoin World Capital",,,"bitworld-capital.com","Признаки ""финансовой пирамиды""",0,
2021-09-14,"Blaze Markets LTD, Blaze Markets",,,"blazemarkets.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"BMFN Limited, BMFN",,,"bmfn.ru","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"BPCE Capital Ltd, BPCE Capital",,,"bpcecapital.com, client.fxtrade7.com, platform.fxtrade7.com, bpcecapitals.com, terminal.fxtrade7.com, bpcecapitals.trade","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Capital First Finance LTD, СFFLTD",,,"сffltd.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"COMEWEL",,,"comewel.best","Признаки ""финансовой пирамиды""",0,
2021-09-14,"Consulting Service & Education Group, CSE Group",,,"cse-group.trade","Признаки ""финансовой пирамиды""",0,
2021-09-14,"CrypTime",,,"cryptime.space","Признаки ""финансовой пирамиды""",0,
2021-09-14,"DOMINEISHEN",,,"domineishen.fun","Признаки ""финансовой пирамиды""",0,
2021-09-14,"Dotbig, DotBig LTD",,,"dotbig.com, trade.dotbig.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"ECN.Broker",,,"ecn-broker.ru, client.ecn.broker, ecn.broker.pro, ecnbroker.pro, client.ecn-broker.pro","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"EkolFX, EKOL FX, EKOL GLOBAL MARKETS - RUSSIA, Ekol Global Markets Limited",,,"ekolfx128.com, cp.frxcrm.com, ekolfx131.com, ekolfx134.com, ekolfx137.com, ekolfx138.com, ekolfx139.com, ekolfx140.com, ekolfx142.com, ekolfx145.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Equitybroker Inc., Equity-broker",,,"equity-broker.cc, equity-broker.co","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"ESC-TX",,,"esc-tx.com, trade.esc-tx.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Esso Millanni INC, Esso Millanni",,,"essomillanni.com","Признаки ""финансовой пирамиды""",0,
2021-09-14,"EXBrokerc, EXCHANGEBC Ltd Inc.",,,"excbc.com, client.excbc.com, ru.ex-cbc.com, client.ex-cbc.com, rus.ex-cbc.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"EZCFDS, Xvector Ltd",,,"www.ezcfds.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Fastrading, TML Global Services LTD",,,"www.fastrading.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Fidelis Capital Markets Limited, Fidelis",,"Griffith Corporate Centre, Beachmont, Suite 305, 1510, Kingstown","fideliscm.com, crm.fideliscm.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"First Wholesale Limited, Wordlex",,,"wordlex.online, lk.wordlex.online","Признаки ""финансовой пирамиды""",0,
2021-09-14,"Garafi",,,"garafi.com, trade.garafi.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Globalstockmarkets, Prometheus Limited",,,"globalstockmarkets.org","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"GOLDEN FLOWER",,,"goldenflower.vip","Признаки ""финансовой пирамиды""",0,
2021-09-14,"HankivFX, Hankiv",,,"hankiv.com, hankivfx.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"HI-TECH-FX, High Technology Solutions Limited",,,"hi-tech-fx.com, crm.hi-tech-fx.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Invesco Limited, Invesco ltd, INVFX.EU",,,"invfx.eu, co.invfx.eu","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Invest Aktiv",,,"investaktiv.com","Признаки ""финансовой пирамиды""",0,
2021-09-14,"iPromarkets, Paxton Trade Limited, Trinity Capital LLC, GO Partners Limited",,,"ipromarkets.com, personal.ipromarkets.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"IT Smart Money",,,"itsm-online.ru, nsw-online.ru","Признаки ""финансовой пирамиды""",0,
2021-09-14,"JetCapitals",,,"jetcapitals.com, jet-capitals.com, tls54.jetcapitals.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Jumplix Ltd., Jumplix",,,"Jumplix.com","Признаки ""финансовой пирамиды""",0,
2021-09-14,"Kiexo LLC, Kiexo",,,"ru.kiexo.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"KOK PLAY",,,"kokrussia.ru, kok-play.org, kok-play.pw, kokplay.one","Признаки ""финансовой пирамиды""",0,
2021-09-14,"Kredo Capital Group",,,"kredo-capital.com, trading.kredo-capital.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Landprime Limited, Land-FX",,,"land-fx.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Lenbex Ltd, Lenbex",,,"lenbex.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Libertys Capital LTD, Libertys Capital",,,"libertys.capital","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Limited Traders Club",,,"limited-trd.com, trading.limited-trd.com, limited-trd.club, limited-trd.biz, limited-trd-cloud.net, limitedtrd.biz, trading.limitedtrd.biz","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Lot-Forex",,,"lot-forex.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Luten X LLC, Swiseinvest",,,"swiseinvest.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Marketbull, Market Bull LTD",,,"marketbull.co.uk, client.marketbull.co.uk, webtrader.marketbull.co.uk, marketbull.live, client.marketbull.live, webtrader.marketbull.live","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Maxi-O",,,"maxi-o.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Novotrend Ltd, Novotrend",,,"novotrend.net, private.novotrend.net, novotrend.club, private.novotrend.club","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Olympus Investment LLC, Axis Capital Group",,,"axiscapitalgroup.uk, axiscapitalgroup.co","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"OMFINOM",,,"omfinom.com, omfinom.net, omfinom.ru","Признаки ""финансовой пирамиды""",0,
2021-09-14,"Orbitrade, Donnybrook Consulting Ltd",,,"orbitrade.io, orbitrade.cc, webtrader.orbitrade.cc","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"ORION Finance",,,"office.orionfinance.org, orionfinance.org","Признаки ""финансовой пирамиды""",0,
2021-09-14,"Pacific Union, Pacific Union (Seychelles) Limited",,,"ru.puprime.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Pari Trade Ltd, Pari Trade",,,"paritradegroup.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Paxton Trade Limited, GoTradingLive",,,"gotradinglive.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Plethora Group Ltd, GalaxyTrade",,,"galaxytrade.cc, galaxytrade.co, galaxytrade.pro","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"PO Trade, POCKET OPTION, PO TRADE LTD (Сент-Люсия)",,,"po.trade, pocketoption.com, pocket-finance.ru, po.finance","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"PRIDE-TRADE, PRIDE-TRADE LIMITED",,,"pride-trade.com, client.pride-trade.com, www.pride-trade.com, www.client.pride-trade.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"PROFIT MARKET, Profitmk Ltd",,,"profitmarket.trade, user.profitmarket.trade, web.profitmarket.trade","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Profitstrade LTD, Profitstrade",,,"profitstrade.com, profitstrade1.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"PROSTO-MATRIX",,,"prosto-matrix.com","Признаки ""финансовой пирамиды""",0,
2021-09-14,"QR Capital 24, QR Capital 24 LLC",,,"qrcapital24.com, qrcapitals24.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"RBC Forex Group, RBC Forex",,,"www.rbcforex.org, my.rbcforex.com, mobius.rbcforex.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"RedRock500",,,"redrock500.com, client.redrock500.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"RENAISSANCE.FINANCE, RF RENAISSANCE.FINANCE",,,"renaissance.finance","Признаки ""финансовой пирамиды""",0,
2021-09-14,"Resolution Operation, Resolution Capital Limited, Resolution Operation LLP",,,"resolution4u.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"REVOLUTOX",,,"revolutox.com","Признаки ""финансовой пирамиды""",0,
2021-09-14,"ROBO MINING, Robomining",,,"robomining.site","Признаки ""финансовой пирамиды""",0,
2021-09-14,"RT Global ltd, APPTRADER, APPTRADER",,,"apptrader.com, trading.apptrader.com, app-trader.biz","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Scooter Invest",,,"scooter-invest.com","Признаки ""финансовой пирамиды""",0,
2021-09-14,"SimpleFX, Simple FX Ltd.",,,"simplefx.com, app.simplefx.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Solution Finance Partners, SOLUTION FINANCE PARTNERS LTD",,,"solutionfinpartners.com, solution-fin-partners.com, solution-finpartners.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Techcafe.online, tech coffee",,,"techcafe.online","Признаки ""финансовой пирамиды""",0,
2021-09-14,"TechWare Limited, Evotrade",,,"evotrade.com, pr.evotrade-ru.com, evotrade-ru.com, evotrade-fx.com, evotrade-fx3.com, evotrade-fx2.com, evotrade2.com, profxevo.com, befxevo.com, beevotrader.com, tryfxevo.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Time Option, Oracle Stone Ltd",,,"time-option.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Trade Finance Merchants LTD, TFM, TradingApp",,,"tfmbroker.pro, tradersroom.tradingapp.pro, tf-merchants.com, t-finance-m.com, tradersroom.tradingapp.cc, my.tradingapp.cc","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Tradeview Markets Global, Tradeview Financial Markets SAC",,,"www.tradeviewlatam.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"TRENDER, TDR",,,"trender.world","Признаки ""финансовой пирамиды""",0,
2021-09-14,"Try Markets, Capital Market Solutions Inc.",,,"trymarkets.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"UIXONE",,,"uixone.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Unimarkets",,,"uni-markets.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"United Financial Group LLC, United Financial Group",,,"ufgroup.pro","Признаки ""финансовой пирамиды""",0,
2021-09-14,"Update Ltd, Dowmarkets",,,"dowmarkets.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Utradex, Namelina Limited",,,"utradex.net","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Vin-vest.com, ООО ""Винвест""",,,"vin-vest.com, ooostability.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"WESTMARKET LIMITED",,,"www.westmarketlimited.com, webtrader.westmarketlimited.com, westmarketlimmited.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"XenitFX, Xenit-FX",,,"xenitfx.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Залог52",,,"zalog52.ru","Признаки нелегального кредитора",0,
2021-09-14,"Комиссионный магазин ""Золотой""",,"447047, Пензенская область, г. Пенза, ул. Минская, д. 8",,"Признаки нелегального кредитора",0,
2021-09-14,"Комиссионный магазин ""Ломбардия""",,"603057, Нижегородская область, г. Нижний Новгород, ул. Бекетова, д. 20",,"Признаки нелегального кредитора",0,
2021-09-14,"Комиссионный магазин «Алмаз 24 часа»",,"423040, Республика Татарстан, г.  Нурлат, ул. К. Маркса, д. 1","vk.com/almaz24_nyrlat, instagram.com/almaz24_nurlat","Признаки нелегального кредитора",0,
2021-09-14,"Комиссионный магазин Ржев Торг",,"172381, Тверская область, Ржевский район, г. Ржев, ул. Большая Спасская, д. 8/27","rzhevrorg.ru","Признаки нелегального кредитора",0,
2021-09-14,"Ломбард ""Командор""",,"610045, Кировская область, г. Киров, ул. Волкова, д. 1",,"Признаки нелегального кредитора",0,
2021-09-14,"ЛОМБАРД КАРБАКС, carbucks",,,"carbucks.ru","Признаки нелегального кредитора",0,
2021-09-14,"МЕЖДУНАРОДНЫЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ПО РАЗВИТИЮ СОЦИАЛЬНЫХ ПРОГРАММ ""МАО""","5405057036","630114, Новосибирская область, г. Новосибирск, ул. Ключ-камышенское плато, д. 13, кв. 153","mao-life.com, mao.coop, mao-locomotive.com, mao-locomotive.coop, mao-life.coop","Признаки ""финансовой пирамиды""",0,
2021-09-14,"ОБЩЕСТВО  С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД АЛМАЗ""","1513048874","362045, Республика Северная Осетия - Алания, г. Владикавказ, ул. Владикавказская, д. 30; 
362045, Республика Северная Осетия - Алания, г. Владикавказ, ул. Джанаева 42; 
362020, Республика Северная Осетия - Алания, г. Владикавказ, проспект Коста 224; 
362045, Республика Северная Осетия - Алания, г. Владикавказ, ул. Владикавказская, д. 30а; 
362000, Республика Северная Осетия - Алания, г. Владикавказ, ул. Пожарского 10","www.instagram.com/lombardalmaz.vld, www.instagram.com/almazmobile, www.instagram.com/almaz.vld, vk.com/lombardalmaz","Признаки нелегального кредитора",0,
2021-09-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ЛОМБАРД РУБЛЁВ"" (ЛОМБАРД РУБЛЁВ)","7203510112","625051, Тюменская область, г. Тюмень, ул. Судостроителей, д.38, кв. 315",,"Признаки нелегального кредитора",0,
2021-09-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙПИО ФИНАНС"" (IPO FINANCE)","6685184131","620075, Свердловская область, г. Екатеринбург, ул. Малышева, д. 51, оф. 2207/01","ipofinance.ru","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТОМ"" (Atom Investment)","7715833797","127560, г. Москва, ул. Плещеева, д. 11, офис 172","atom-groups.ru","Признаки ""финансовой пирамиды""",0,
2021-09-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОВЕРИЕ"" (НИКОЛЬ БУСЕ ЮВЕЛИРНЫЙ ДОМ, 777 МАГАЗИН ЛОМБАРД)","3662261962","394061, Воронежская область, г. Воронеж, проспект Труда, д. 10, пом. Ниж. офис 3/1; 
394071, Воронежская область, г. Воронеж, ул. 20-летия Октября, д. 119; 
394004, Воронежская область, г. Воронеж, Ленинский проспект, д. 35","777lombard.com","Признаки нелегального кредитора",0,
2021-09-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗОЛОТОЗАПАС"" (ЗОЛОТОЗАПАС)","9723111573","109388, г. Москва, ул. Полбина, д. 3, стр. 1,этаж 2, пом. 1, каб. 1","золотозапас.рф","Признаки ""финансовой пирамиды""",0,
2021-09-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД НАРОДНЫЙ"" (ЛОМБАРД НАРОДНЫЙ)","5921030819","618250, Пермский край, г. Губаха, проспект Октябрьский, д. 14","vk.com/lombard_gubaha","Признаки нелегального кредитора",0,
2021-09-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД НОМЕР 1"" (ЛОМБАРД ВИТЕЛ)","6154156577","347900, Ростовская область, г. Таганрог, ул. Джержинского, д. 161-4, офис 1",,"Признаки нелегального кредитора",0,
2021-09-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД ЮВЕЛИР""","2352052830","353540, Краснодарский край, Темрюкский район, п. Сенной, ул. Мира, д. 33",,"Признаки нелегального кредитора",0,
2021-09-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД-ГЕЛИОС"" (ЛОМБАРД)","5902851312","614068, Пермский край, г. Пермь, ул. Ленина, д. 76, офис 23, 2 этаж, ТЦ «Бизнес Галереи»",,"Признаки нелегального кредитора",0,
2021-09-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ЦЕНТР ФИНАНСОВЫХ РЕШЕНИЙ ""ТРАСТИНВЕСТ""","5906159751","614107, Пермский край, г. Пермь, ул. Лебедева, д. 25, к.б., офис 56","teremzaim.ru","Признаки нелегального кредитора",0,
2021-09-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИКОЛЬСКИЙ"" (ЛОМБАРД НА НИКОЛЬСКОЙ)","6164274266","344002, Ростовская область, г. Ростов-на-Дону, проспект Буденовский, д. 24, кв.3,4,5, 5А",,"Признаки нелегального кредитора",0,
2021-09-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧЕСТНЫЙ ЛОМБАРД""","1656080837","420064, Республика Татарстан, г. Казань, ул. Березовая (Лесной городок), д. 21; 
420064, Республика Татарстан, г. Казань, ул. Фучика, д. 14","lombardkzn.ru","Признаки нелегального кредитора",0,
2021-09-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭДЕЛЬВЕЙС ЛИЗИНГ"" (РЕЗЕРВ ФИНАНС)","9731071363","121354, г. Москва, ул. Кутузова, д. 11, корп. 3","auto-edelweis.ru","Признаки нелегального кредитора",0,
2021-09-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭФЕСТ""","5254031724","607800, Нижегородская область, Лукояновский р-н, г. Лукоянов, ул. Пушкина, д. 324, кв. 1; 
603137, Нижегородская область, г. Нижний Новгород, пр. Гагарина, д. 222",,"Признаки нелегального кредитора",0,
2021-09-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ЦИФРОВОЙ ЛОМБАРД ТЕХНОЛАЙФ»","2723209174","680007, Хабаровский край, г. Хабаровск, пер. Инский, д. 9, кв. 3","lombard-technolife.ru","Признаки нелегального кредитора",0,
2021-09-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЛОМБАРД ""СОГЛАСИЕ ПЛЮС"" (ЛОМБАРД ЮВЕЛИРНЫЙ ДИСКОНТ ЦЕНТР СОГЛАСИЕ)","2309170442","350063, Краснодарский край, г. Краснодар, ул. Мира, д. 38, литер Б, пом. 4",,"Признаки нелегального кредитора",0,
2021-09-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЛОМБАРД «ПРОФИТО-М»","2543059392","690068, Приморский край, г. Владивосток, ул.Кирова, д. 25Е, кв. 57",,"Признаки нелегального кредитора",0,
2021-09-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ ОРГАНИЗАЦИЯ ""ЗЕЛЕНЫЙ СВЕТ"" (ООО МКК ЗЕЛЕНЫЙ СВЕТ)","6162077216","344101, Ростовская область, г. Ростов-на-Дону, ул. Нагорная, д. 2 А, офис 1","www.rnd.kreditfin.tu","Признаки нелегального кредитора",0,
2021-09-14,"ООО ИК ""ДИНВФИН"", DIF",,,"dinvfin.com, difinvest.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"Первый фонд ""Доверие""",,,"firsttrustfund.com","Признаки ""финансовой пирамиды""",0,
2021-09-14,"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ПО РАЗВИТИЮ СОЦИАЛЬНО-ЭКОНОМИЧЕСКИХ ПРОГРАММ ДЛЯ ПАЙЩИКОВ ""СБЕРЕЖЕНИЕ"" (ПК СБЕРЕЖЕНИЕ)","5040168714","140104, Московская область, г. Раменское, ул. Высоковольтная, д.22, пом. 29, ком.5",,"Признаки ""финансовой пирамиды""",0,
2021-09-14,"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ПО РАЗВИТИЮ ЭКОНОМИЧЕСКИХ И СОЦИАЛЬНЫХ ПРОГРАММ ДЛЯ ПАЙЩИКОВ ""ИНВЕСТФИНАНС"" (ПК ""ИНВЕСТФИНАНС"")","5032322190","152920, Московская область, г. Одинцово, ул. Северная, д. 55, пом. III; 156013, Костромская область, г. Кострома, проспект Мира, д. 75; 
600015, Владимирская область, г. Владимир, проспект Ленина, д. 26","www.i-fin.ru, pk-investfinans.ru","Признаки ""финансовой пирамиды""",0,
2021-09-14,"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ СОЦИАЛЬНО-МАТЕРИАЛЬНОЙ ПОМОЩИ ""ПОДКОВА"" (ПК ПОДКОВА)","3525463572","160024, Вологодская область, г. Вологда, ул. Северная, д. 36, кв. 445","vk.com/pkpodkova, www.instagram.com/pk_podkova","Признаки ""финансовой пирамиды""",0,
2021-09-14,"Сommerce wealth, CommerceWealth Ltd",,,"ru.commercewealth.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-14,"ЦЕНТР ЗАЙМОВ, ДЕНЬГИ В ДОЛГ",,"155412, Ивановская область, г. Заволжск, ул. Мира, д. 15",,"Признаки нелегального кредитора",0,
2021-09-14,"Ювелирный салон ""Чароит""",,"433508, Ульяновская область, г. Димитровград, ул. Гагарина, д. 17",,"Признаки нелегального кредитора",0,
2021-09-07,"A1Capitals, Fenix Group Ltd",,,"a1capitals.com, tradersroom.a1capitals.com, webtrader.a1capitals.com, a1-capitals.com, tradersroom.a1-capitals.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-07,"ACY Capital Australia Limited (Вануату), ACY Securities",,,"acy.com, acyid.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-09-07,"Afinam.fund, Finam fund",,,"afinam.fund","Признаки нелегального профессионального участника рынка ценных бумаг",0,"Компания использует данные легального участника финансового рынка"
